conversation_id,conversation
11,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, koi achhi si thriller recommend kar. Kuch jo dimag ghuma de."",
      ""agent"": ""'Jaane Jaan' dekh lo. Kareena Kapoor Khan, Vijay Varma, aur Jaideep Ahlawat hai isme. Netflix pe hai.""
    },
    {
      ""user"": ""Arey waah! Kya scene hai iska?"",
      ""agent"": ""Ek murder mystery hai set in Kalimpong. Kareena ek single mom hai jo ek murder case mein fas jaati hai. Vijay cop ka role hai, aur Jaideep ek mysterious teacher hai. Sujoy Ghosh ne direct kiya hai, toh twist kaafi honge.""
    },
    {
      ""user"": ""Sahi hai! Kaisi reviews mili?"",
      ""agent"": ""Reviews mostly positive rahi. Acting, especially Jaideep ki, bohot tareef hui. Kuch log ending se thoda disappointed the, par overall suspense maintain rehta hai poori film mein.""
    },
    {
      ""user"": ""Nice! Weekend pe pakka dekhta hoon. Thanks!""
    }
  ],
  ""movies"": [""Jaane Jaan""]
}
"
12,"{
  ""conversation"": [
    {
      ""user"": ""Koi achhi si romantic film bata. Family ke saath baith ke dekh sakun."",
      ""agent"": ""'Rocky Aur Rani Kii Prem Kahaani' perfect rahegi. Karan Johar ki latest hai.""
    },
    {
      ""user"": ""Accha? Star cast kaun hai?"",
      ""agent"": ""Ranveer Singh aur Alia Bhatt lead mein hain. Dharmendra, Jaya Bachchan, aur Shabana Azmi bhi hain. Do alag backgrounds ki families ki kahani hai - ek Punjabi, ek Bengali.""
    },
    {
      ""user"": ""Interesting! Story kya hai?"",
      ""agent"": ""Rocky aur Rani ki love story hai, par families ke beech cultural differences hain. Dono 3 mahine ke liye ek dusre ke ghar mein rehte hain taki families ko samajh sakein. Romance, drama, comedy sab kuch hai. Family values pe bhi focus hai.""
    },
    {
      ""user"": ""Sahi hai! Reviews kaisi rahi?"",
      ""agent"": ""Mostly positive. Ranveer-Alia ki chemistry, songs, aur overall entertainment value ki tareef hui. Kuch log ise typical Bollywood drama kehte hain, par family audience ne kaafi pasand kiya.""
    },
    {
      ""user"": ""Sounds good! Isi weekend dekhenge sab milkar. Thanks yaar!""
    }
  ],
  ""movies"": [""Rocky Aur Rani Kii Prem Kahaani""]
}
"
13,"{
  ""conversation"": [
    {
      ""user"": ""Koi intense courtroom drama suggest kar. Real story based ho toh aur acha."",
      ""agent"": ""'Sirf Ek Bandaa Kaafi Hai' dekh lo. Manoj Bajpayee ki hai, 2023 ki.""
    },
    {
      ""user"": ""Oh, kya case hai isme?"",
      ""agent"": ""Ek lawyer ek powerful godman ke against case ladata hai. Child sexual abuse ka case hai. Manoj ki acting zabardast hai. Kaafi hard-hitting hai.""
    },
    {
      ""user"": ""Sounds powerful. OTT pe hai?"",
      ""agent"": ""Haan, 'Sirf Ek Bandaa Kaafi Hai' OTT par available hai. Ek baar zaroor dekhna!""
    }
  ],
  ""movies"": [""Sirf Ek Bandaa Kaafi Hai""]
}
"
14,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, SRK ki latest kaunsi hai? Miss toh nahi ki?"",
      ""agent"": ""'Dunki' dekhi? December 2023 mein aayi thi.""
    },
    {
      ""user"": ""Nahi yaar. Kaisi hai?"",
      ""agent"": ""Comedy-drama hai. Illegal immigration pe based hai. Rajkumar Hirani ne direct ki hai. SRK, Taapsee Pannu, Vicky Kaushal hain. Emotional bhi hai, funny bhi.""
    },
    {
      ""user"": ""Accha, dekhni padegi fir. Thanks!""
    }
  ],
  ""movies"": [""Dunki""]
}
"
15,"{
  ""conversation"": [
    {
      ""user"": ""Kuch creepy sa dekhna hai. Koi hidden gem bata horror mein."",
      ""agent"": ""'Tumbbad' try kar. Period horror hai, 2018 ki.""
    },
    {
      ""user"": ""Never heard of it. Kya hai isme?"",
      ""agent"": ""19th century Maharashtra mein set hai. Ek cursed treasure aur greed ki story hai. Visuals ekdum mind-blowing hain. Slow burn horror hai, par ending tak grip rakhti hai.""
    },
    {
      ""user"": ""Sounds intriguing! Streaming kahan milegi?"",
      ""agent"": ""'Tumbbad' Amazon Prime Video par available hai. Wahan jaake dekh sakte ho.""
    }
  ],
  ""movies"": [""Tumbbad""]
}
"
16,"{
  ""conversation"": [
    {
      ""user"": ""Bro, koi motivational type ki movie chahiye. Kuch jo josh bharde!"",
      ""agent"": ""'Dangal' dekh le fir. Aamir Khan wali. Sports drama hai, based on Phogat sisters ki real story.""
    },
    {
      ""user"": ""Accha haan, suna hai. Wrestling wali hai na?"",
      ""agent"": ""Haan, Aamir ek wrestler hai jo apni betiyon ko champion banata hai. Gender stereotypes todti hai film. Performance, story, sab top-notch hai.""
    },
    {
      ""user"": ""Nice yaar! Dekhni padegi.""
    }
  ],
  ""movies"": [""Dangal""]
}
"
17,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, ek film bata jo dekh ke meme game strong ho jaye."",
      ""agent"": ""'Gangs of Wasseypur' se better kuch nahi! Meme ka khazana hai woh film.""
    },
    {
      ""user"": ""Sachi? Itne memes hain kya usme?"",
      ""agent"": ""Bhai, kya batau! 'Beta tumse na ho payega' se lekar 'Baap ka, dada ka, bhai ka, sabka badla lega re tera Faizal' tak. Har dialogue meme material hai.""
    },
    {
      ""user"": ""Haha! Woh 'Keh ke lenge' wala bhi isi movie se hai na?"",
      ""agent"": ""Bilkul! Nawazuddin ka woh dialogue toh legend hai. Aur haan, 'Bahut khoob' bhool mat jana. Anurag Kashyap ne meme creators ko free ka content de diya is movie se.""
    },
    {
      ""user"": ""Lol! Ab toh dekhni hi padegi. Meme game strong karne ke liye bhi aur movie enjoy karne ke liye bhi."",
      ""agent"": ""Haan, par yaad rakhna - pehle movie enjoy karo, memes baad mein. Kyunki 'Tumse na ho payega' nahi bolna padega mujhe!""
    },
    {
      ""user"": ""Haha! Done deal. Weekend sorted!""
    }
  ],
  ""movies"": [""Gangs of Wasseypur""]
}
"
18,"{
  ""conversation"": [
    {
      ""user"": ""Koi spy thriller hai kya? Kuch naya sa?"",
      ""agent"": ""Haan, 'Khufiya' dekh lo. Tabu aur Ali Fazal ki hai, 2023 ki.""
    },
    {
      ""user"": ""Accha, kya story hai?"",
      ""agent"": ""RAW agent ki kahani hai. Double agents, betrayal, sab kuch hai. Vishal Bhardwaj ne direct ki hai, toh cinematography top-notch hai.""
    },
    {
      ""user"": ""Sahi hai! Dekhni padegi fir.""
    }
  ],
  ""movies"": [""Khufiya""]
}
"
19,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, koi intense action film bata. Jo thodi dark ho."",
      ""agent"": ""'Animal' dekh lo. Ranbir Kapoor ki latest hai.""
    },
    {
      ""user"": ""Accha? Kaisi hai?"",
      ""agent"": ""Baap-bete ke rishte pe based hai, par bohot violent hai. Ranbir ka naya avatar hai. Bobby Deol bhi hai villain ke role mein. Sandeep Reddy Vanga ki direction hai.""
    },
    {
      ""user"": ""Sounds intense! Reviews kaisi rahi?"",
      ""agent"": ""Mixed rahi. Kuch log ise masterpiece keh rahe hain, kuch ko violence zyada laga. Par box office pe superhit rahi.""
    }
  ],
  ""movies"": [""Animal""]
}
"
20,"{
  ""conversation"": [
    {
      ""user"": ""Koi light-hearted romantic comedy suggest kar yaar."",
      ""agent"": ""'Miss Shetty Mr Polishetty' try karo. 2023 ki hai, Anushka Shetty aur Naveen Polishetty ki.""
    },
    {
      ""user"": ""Oh, plot kya hai?"",
      ""agent"": ""Ek chef aur ek stand-up comedian ki love story hai. Cultural differences, career challenges, sab hai isme. Fresh pairing hai, aur comedy timing achi hai dono ki.""
    },
    {
      ""user"": ""Nice! Sounds fun. Thanks for the suggestion!""
    }
  ],
  ""movies"": [""Miss Shetty Mr Polishetty""]
}
"
21,"{
  ""conversation"": [
    {
      ""user"": ""Koi romantic drama bata jo thoda hatke ho."",
      ""agent"": ""'Bawaal' dekh lo. Varun Dhawan aur Janhvi Kapoor ki hai.""
    },
    {
      ""user"": ""Hmm, isme kya special hai?"",
      ""agent"": ""Ek couple ki story hai jo Europe tour pe jaate hain. World War II ke sites visit karte hain. Love story ke saath historical angle bhi hai. Nitesh Tiwari ne direct ki hai.""
    },
    {
      ""user"": ""Interesting concept hai. Dekhni padegi.""
    }
  ],
  ""movies"": [""Bawaal""]
}
"
22,"{
  ""conversation"": [
    {
      ""user"": ""Koi desi superhero type ki film hai?"",
      ""agent"": ""'Brahmastra' dekhi hai? Ranbir-Alia ki.""
    },
    {
      ""user"": ""Nahi yaar, kaisi hai?"",
      ""agent"": ""Indian mythology pe based superhero film hai. VFX kaafi ache hain. Ranbir ko fire powers milte hain. Alia, Amitabh Bachchan, SRK sab hain isme. Trilogy ka first part hai.""
    },
    {
      ""user"": ""Wow, sounds massive! Jarur dekhenge.""
    }
  ],
  ""movies"": [""Brahmastra Part One: Shiva""]
}
"
23,"{
  ""conversation"": [
    {
      ""user"": ""Koi sports drama hai kya recent? Cricket ke alawa kuch."",
      ""agent"": ""'Ghoomer' dekh lo. Abhishek Bachchan aur Saiyami Kher ki hai.""
    },
    {
      ""user"": ""Accha, kis sport pe hai?"",
      ""agent"": ""Cricket pe hi hai, par differently-abled cricketer ki story hai. Saiyami ek para-cricketer ka role play karti hai, Abhishek uska coach hai. R Balki ne direct kiya hai.""
    },
    {
      ""user"": ""Oh, that's unique! Dekhni padegi.""
    }
  ],
  ""movies"": [""Ghoomer""]
}
"
24,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, koi mast action thriller bata. Salman ki latest kaunsi hai?"",
      ""agent"": ""Salman ki latest 'Tiger 3' hai. Spy thriller hai.""
    },
    {
      ""user"": ""Oh haan! Kaisi hai?"",
      ""agent"": ""Mast hai! Tiger aur Zoya ka mission continue hota hai. Katrina Kaif bhi hai. Emraan Hashmi villain hai. Action scenes zabardast hain, especially climax.""
    },
    {
      ""user"": ""Sahi hai! Weekend pe dekhta hoon. Thanks!""
    }
  ],
  ""movies"": [""Tiger 3""]
}
"
25,"{
  ""conversation"": [
    {
      ""user"": ""Koi fun romantic comedy suggest kar yaar. Date night ke liye perfect ho."",
      ""agent"": ""'Tu Jhoothi Main Makkaar' dekh lo. Ranbir Kapoor aur Shraddha Kapoor ki hai.""
    },
    {
      ""user"": ""Accha, isme kya twist hai?"",
      ""agent"": ""Dono breakup experts hain jo khud pyaar mein pad jaate hain. Comedy timing achi hai dono ki. Luv Ranjan ne direct kiya hai, toh masti aur romance ka perfect blend hai.""
    },
    {
      ""user"": ""Nice! Sounds perfect for a fun night. Thanks!""
    }
  ],
  ""movies"": [""Tu Jhoothi Main Makkaar""]
}
"
26,"{
  ""conversation"": [
    {
      ""user"": ""Koi Bollywood film jo intense drama ho."",
      ""agent"": ""'Sardar Udham' dekh lo. Vicky Kaushal ki film hai, 2021 ki.""
    },
    {
      ""user"": ""Accha, plot kya hai?"",
      ""agent"": ""Sardar Udham Singh ki real-life story hai, jo Jallianwala Bagh massacre ke baad revenge ke liye ladai karte hain. Vicky Kaushal ki performance outstanding hai.""
    },
    {
      ""user"": ""Sounds powerful. Thanks!""
    }
  ],
  ""movies"": [""Sardar Udham""]
}
"
27,"{
  ""conversation"": [
    {
      ""user"": ""Koi recent Bollywood film batao jo mind-bending ho."",
      ""agent"": ""'The Night Manager' dekh lo. Aditya Roy Kapur aur Anil Kapoor ki film hai, 2023 ki.""
    },
    {
      ""user"": ""Accha, kya story hai?"",
      ""agent"": ""Ek high-octane thriller hai jisme Aditya Roy Kapur ek undercover agent ka role play karte hain aur Anil Kapoor ek arms dealer hain. Lots of twists and turns!""
    },
    {
      ""user"": ""Sounds gripping! Dekhni padegi.""
    }
  ],
  ""movies"": [""The Night Manager""]
}
"
28,"{
  ""conversation"": [
    {
      ""user"": ""Koi Bollywood film jo ek inspiring story ho."",
      ""agent"": ""'Chakde! India' dekh lo. Shah Rukh Khan ki film hai, 2007 ki.""
    },
    {
      ""user"": ""Yeh toh classic hai! Plot kya hai?"",
      ""agent"": ""Shah Rukh Khan ek hockey coach ka role play karte hain jo Indian women's hockey team ko train karte hain aur unko World Cup jeetne mein madad karte hain. Inspirational aur motivational hai.""
    },
    {
      ""user"": ""Sounds great! Dekhni padegi.""
    }
  ],
  ""movies"": [""Chakde! India""]
}
"
29,"{
  ""conversation"": [
    {
      ""user"": ""Koi recent Bollywood horror film batao."",
      ""agent"": ""'Bhoot: Part One – The Haunted Ship' dekho. Vicky Kaushal ki film hai, 2020 ki.""
    },
    {
      ""user"": ""Accha, story kya hai?"",
      ""agent"": ""Ek haunted ship ki kahani hai jisme Vicky Kaushal ek officer ka role play karte hain jo ship ko investigate karte hain. Horror aur suspense ka mix hai.""
    },
    {
      ""user"": ""Sounds spooky! Dekhni padegi.""
    }
  ],
  ""movies"": [""Bhoot: Part One – The Haunted Ship""]
}
"
30,"{
  ""conversation"": [
    {
      ""user"": ""Koi Bollywood action film chahiye jo latest ho."",
      ""agent"": ""'Ek Villain Returns' dekho. John Abraham aur Arjun Kapoor ki film hai, 2022 ki.""
    },
    {
      ""user"": ""Kaisi hai?"",
      ""agent"": ""Ek intense action thriller hai jisme John Abraham aur Arjun Kapoor villain roles mein hain. Lots of action, drama aur suspense.""
    },
    {
      ""user"": ""Sounds thrilling! Dekhni padegi.""
    }
  ],
  ""movies"": [""Ek Villain Returns""]
}
"
31,"{
  ""conversation"": [
    {
      ""user"": ""Koi Bollywood film chahiye jo intense aur drama se bhari ho."",
      ""agent"": ""'Kashmir Files' dekh lo. Vivek Agnihotri ki film hai, 2022 ki.""
    },
    {
      ""user"": ""Kaisi hai?"",
      ""agent"": ""Kashmiri Pandits ke exodus ke baare mein hai. Intense aur emotionally charged film hai, jo real-life incidents ko depict karti hai.""
    },
    {
      ""user"": ""Sounds powerful. Dekhni padegi.""
    }
  ],
  ""movies"": [""Kashmir Files""]
}
"
